Forecast;Saidas;Ano;Trimestre;Mês;Dia;Date mais recente;;;;68,85904576
1551;940;2023;Trim 1;fevereiro;1;01/02/2023 00:00;;35;;
1893;1091;2023;Trim 1;março;1;01/03/2023 00:00;;26,48945921;;
1451;970;2023;Trim 2;abril;1;01/04/2023 00:00;;50,41237113;;
1580;1093;2023;Trim 2;maio;1;01/05/2023 00:00;;55,44373285;;
1625;1279;2023;Trim 2;junho;1;01/06/2023 00:00;;72,94761532;;
1626;1009;2023;Trim 3;julho;1;01/07/2023 00:00;;38,85034688;;
1533;1288;2023;Trim 3;agosto;1;01/08/2023 00:00;;80,97826087;;
1132;2246;2023;Trim 3;setembro;1;01/09/2023 00:00;;50,40071238;;
1252;1122;2023;Trim 4;outubro;1;01/10/2023 00:00;;88,41354724;;
1402;1429;2023;Trim 4;novembro;1;01/11/2023 00:00;;98,11056683;;
1302;1350;2023;Trim 4;dezembro;1;01/12/2023 00:00;;96,44444444;;
1402;1554;2024;Trim 1;janeiro;1;01/01/2024 00:00;;90,21879022;;
1702;1336;2024;Trim 1;fevereiro;1;01/02/2024 00:00;;72,60479042;;
1702;2328;2024;Trim 1;março;1;01/03/2024 00:00;;73,10996564;;
1993;1492;2024;Trim 2;abril;1;01/04/2024 00:00;;66,42091153;;
1702;2846;2024;Trim 2;maio;1;01/05/2024 00:00;;59,80323261;;
1692;1530;2024;Trim 2;junho;1;01/06/2024 00:00;;89,41176471;;
1700;2241;2024;Trim 3;julho;1;01/07/2024 00:00;;75,85899152;;
2100;1520;2024;Trim 3;agosto;1;01/08/2024 00:00;;61,84210526;;
2100;1989;2024;Trim 3;setembro;1;01/09/2024 00:00;;94,41930618;;
32440;30653;;;;;;;94,17022804;;
