Forecast,Saidas,Ano,Trimestre,Mês,Dia,Date mais recente
5,3,2023,Trim 1,fevereiro,1,2023-02-01 00:00:00
3,2,2023,Trim 1,março,1,2023-03-01 00:00:00
2,3,2023,Trim 2,abril,1,2023-04-01 00:00:00
2,6,2023,Trim 2,maio,1,2023-05-01 00:00:00
2,0,2023,Trim 2,junho,1,2023-06-01 00:00:00
2,0,2023,Trim 3,julho,1,2023-07-01 00:00:00
2,0,2023,Trim 3,agosto,1,2023-08-01 00:00:00
3,0,2023,Trim 3,setembro,1,2023-09-01 00:00:00
3,2,2023,Trim 4,outubro,1,2023-10-01 00:00:00
3,0,2023,Trim 4,novembro,1,2023-11-01 00:00:00
2,2,2023,Trim 4,dezembro,1,2023-12-01 00:00:00
3,1,2024,Trim 1,janeiro,1,2024-01-01 00:00:00
3,0,2024,Trim 1,fevereiro,1,2024-02-01 00:00:00
3,2,2024,Trim 1,março,1,2024-03-01 00:00:00
3,0,2024,Trim 2,abril,1,2024-04-01 00:00:00
3,0,2024,Trim 2,maio,1,2024-05-01 00:00:00
2,4,2024,Trim 2,junho,1,2024-06-01 00:00:00
2,0,2024,Trim 3,julho,1,2024-07-01 00:00:00
2,0,2024,Trim 3,agosto,1,2024-08-01 00:00:00
3,0,2024,Trim 3,setembro,1,2024-09-01 00:00:00
